source_city,destination_city,charging_capacity_kW,distance_km,num_ev_stations_route,charger_power_kW,charging_capacity_kWh,charging_duration_hours,charging_demand,station_density,high_load_route,vehicle_type_3W,vehicle_type_4W,vehicle_type_Bus,charger_type_Slow,charger_type_Ultra-Fast,source_state_Tamil Nadu,destination_state_Tamil Nadu
Tirupati,Madurai,50.0,30.0,39.0,11.0,40,3.64,10.989010989010989,1.3,0,False,False,True,False,False,False,True
Madurai,Nellore,50.0,109.0,40.0,22.0,50,2.27,22.026431718061673,0.3669724770642202,1,False,False,True,False,False,True,False
Vellore,Guntur,22.0,423.0,38.0,50.0,50,1.0,50.0,0.08983451536643026,1,False,False,False,False,True,True,False
Salem,Vellore,22.0,323.0,25.0,50.0,40,0.8,50.0,0.07739938080495357,1,False,False,False,False,True,True,True
Vijayawada,Chennai,11.0,520.0,42.0,100.0,20,0.2,100.0,0.08076923076923077,1,False,True,False,False,True,False,True
Salem,Madurai,150.0,253.0,3.0,3.3,30,9.09,3.3003300330033003,0.011857707509881422,0,False,False,True,True,False,True,True
Tirupati,Vijayawada,22.0,397.0,25.0,3.3,75,22.73,3.2996040475142983,0.06297229219143577,0,False,True,False,True,False,False,False
Coimbatore,Coimbatore,7.2,574.0,2.0,50.0,60,1.2,50.0,0.003484320557491289,1,False,False,False,False,True,True,True
Salem,Salem,22.0,44.0,14.0,3.3,60,18.18,3.3003300330033003,0.3181818181818182,0,False,False,False,True,False,True,True
Guntur,Salem,100.0,399.0,25.0,3.3,50,15.15,3.3003300330033003,0.06265664160401002,0,True,False,False,True,False,False,True
Vellore,Coimbatore,22.0,171.0,10.0,100.0,20,0.2,100.0,0.05847953216374269,1,True,False,False,False,True,True,True
Salem,Chennai,50.0,347.0,47.0,100.0,20,0.2,100.0,0.13544668587896252,1,True,False,False,False,True,True,True
Guntur,Tirupati,22.0,304.0,45.0,7.4,75,10.14,7.396449704142012,0.14802631578947367,0,False,False,True,True,False,False,True
Tirupati,Vijayawada,150.0,530.0,24.0,3.3,75,22.73,3.2996040475142983,0.045283018867924525,0,False,False,False,True,False,False,False
Nellore,Madurai,11.0,428.0,33.0,11.0,50,4.55,10.989010989010989,0.07710280373831775,0,False,False,False,False,False,False,True
Guntur,Guntur,22.0,144.0,9.0,50.0,30,0.6,50.0,0.0625,1,False,False,False,False,True,False,False
Coimbatore,Tirupati,150.0,416.0,24.0,11.0,75,6.82,10.997067448680351,0.057692307692307696,0,False,False,True,False,False,True,True
Kurnool,Nellore,3.3,471.0,3.0,22.0,60,2.73,21.978021978021978,0.006369426751592357,1,False,True,False,False,False,False,False
Guntur,Nellore,150.0,24.0,26.0,11.0,20,1.82,10.989010989010989,1.0833333333333333,0,False,False,False,False,False,False,False
Coimbatore,Madurai,150.0,250.0,32.0,3.3,60,18.18,3.3003300330033003,0.128,0,False,True,False,True,False,False,True
Vellore,Vellore,11.0,550.0,36.0,3.3,75,22.73,3.2996040475142983,0.06545454545454546,0,False,True,False,True,False,True,True
Nellore,Madurai,22.0,587.0,42.0,7.4,50,6.76,7.396449704142012,0.07155025553662692,0,True,False,False,True,False,False,True
Vijayawada,Vellore,22.0,37.0,44.0,7.4,20,2.7,7.4074074074074066,1.1891891891891893,0,True,False,False,True,False,False,True
Madurai,Coimbatore,22.0,482.0,39.0,7.4,75,10.14,7.396449704142012,0.08091286307053942,0,False,False,False,True,False,True,True
Chennai,Vijayawada,100.0,268.0,39.0,100.0,30,0.3,100.0,0.1455223880597015,1,False,True,False,False,True,True,False
Madurai,Chennai,50.0,234.0,42.0,22.0,50,2.27,22.026431718061673,0.1794871794871795,1,True,False,False,False,False,True,True
Madurai,Tirupati,3.3,506.0,12.0,11.0,60,5.45,11.009174311926605,0.023715415019762844,0,False,False,True,False,False,True,True
Coimbatore,Nellore,50.0,304.0,49.0,7.4,40,5.41,7.393715341959334,0.1611842105263158,0,False,False,False,True,False,True,False
Salem,Vellore,3.3,394.0,19.0,100.0,40,0.4,100.0,0.048223350253807105,1,False,False,True,False,True,True,True
Vellore,Salem,100.0,425.0,4.0,22.0,75,3.41,21.994134897360702,0.009411764705882352,1,True,False,False,False,False,True,True
Nellore,Vijayawada,100.0,289.0,5.0,22.0,50,2.27,22.026431718061673,0.01730103806228374,1,False,True,False,False,False,False,False
Madurai,Chennai,22.0,196.0,6.0,22.0,50,2.27,22.026431718061673,0.030612244897959183,1,False,False,False,False,False,True,True
Madurai,Kurnool,11.0,412.0,26.0,11.0,60,5.45,11.009174311926605,0.06310679611650485,0,False,False,True,False,False,True,False
