source_state,source_city,destination_state,destination_city,vehicle_type,charging_capacity_kW,distance_km,num_ev_stations_route,charger_power_kW,charging_capacity_kWh,charging_duration_hours
Andhra Pradesh,Tirupati,Tamil Nadu,Madurai,Bus,50.0,30.0,39.0,11.0,40,3.64
Tamil Nadu,Madurai,Andhra Pradesh,Nellore,Bus,50.0,109.0,40.0,22.0,50,2.27
Tamil Nadu,Vellore,Andhra Pradesh,Guntur,2W,22.0,423.0,38.0,50.0,50,1.0
Tamil Nadu,Salem,Tamil Nadu,Vellore,2W,22.0,323.0,25.0,50.0,40,0.8
Andhra Pradesh,Vijayawada,Tamil Nadu,Chennai,4W,11.0,520.0,42.0,100.0,20,0.2
Tamil Nadu,Salem,Tamil Nadu,Madurai,Bus,150.0,253.0,3.0,3.3,30,9.09
Andhra Pradesh,Tirupati,Andhra Pradesh,Vijayawada,4W,22.0,397.0,25.0,3.3,75,22.73
Tamil Nadu,Coimbatore,Tamil Nadu,Coimbatore,2W,7.2,574.0,2.0,50.0,60,1.2
Tamil Nadu,Salem,Tamil Nadu,Salem,2W,22.0,44.0,14.0,3.3,60,18.18
Andhra Pradesh,Guntur,Tamil Nadu,Salem,3W,100.0,399.0,25.0,3.3,50,15.15
Tamil Nadu,Vellore,Tamil Nadu,Coimbatore,3W,22.0,171.0,10.0,100.0,20,0.2
Tamil Nadu,Salem,Tamil Nadu,Chennai,3W,50.0,347.0,47.0,100.0,20,0.2
Andhra Pradesh,Guntur,Tamil Nadu,Tirupati,Bus,22.0,304.0,45.0,7.4,75,10.14
Andhra Pradesh,Tirupati,Andhra Pradesh,Vijayawada,2W,150.0,530.0,24.0,3.3,75,22.73
Andhra Pradesh,Nellore,Tamil Nadu,Madurai,2W,11.0,428.0,33.0,11.0,50,4.55
Andhra Pradesh,Guntur,Andhra Pradesh,Guntur,2W,22.0,144.0,9.0,50.0,30,0.6
Tamil Nadu,Coimbatore,Tamil Nadu,Tirupati,Bus,150.0,416.0,24.0,11.0,75,6.82
Andhra Pradesh,Kurnool,Andhra Pradesh,Nellore,4W,3.3,471.0,3.0,22.0,60,2.73
Andhra Pradesh,Guntur,Andhra Pradesh,Nellore,2W,150.0,24.0,26.0,11.0,20,1.82
Andhra Pradesh,Coimbatore,Tamil Nadu,Madurai,4W,150.0,250.0,32.0,3.3,60,18.18
Tamil Nadu,Vellore,Tamil Nadu,Vellore,4W,11.0,550.0,36.0,3.3,75,22.73
Andhra Pradesh,Nellore,Tamil Nadu,Madurai,3W,22.0,587.0,42.0,7.4,50,6.76
Andhra Pradesh,Vijayawada,Tamil Nadu,Vellore,3W,22.0,37.0,44.0,7.4,20,2.7
Tamil Nadu,Madurai,Tamil Nadu,Coimbatore,2W,22.0,482.0,39.0,7.4,75,10.14
Tamil Nadu,Chennai,Andhra Pradesh,Vijayawada,4W,100.0,268.0,39.0,100.0,30,0.3
Tamil Nadu,Madurai,Tamil Nadu,Chennai,3W,50.0,234.0,42.0,22.0,50,2.27
Tamil Nadu,Madurai,Tamil Nadu,Tirupati,Bus,3.3,506.0,12.0,11.0,60,5.45
Tamil Nadu,Coimbatore,Andhra Pradesh,Nellore,2W,50.0,304.0,49.0,7.4,40,5.41
Tamil Nadu,Salem,Tamil Nadu,Vellore,Bus,3.3,394.0,19.0,100.0,40,0.4
Tamil Nadu,Vellore,Tamil Nadu,Salem,3W,100.0,425.0,4.0,22.0,75,3.41
Andhra Pradesh,Nellore,Andhra Pradesh,Vijayawada,4W,100.0,289.0,5.0,22.0,50,2.27
Tamil Nadu,Madurai,Tamil Nadu,Chennai,2W,22.0,196.0,6.0,22.0,50,2.27
Tamil Nadu,Madurai,Andhra Pradesh,Kurnool,Bus,11.0,412.0,26.0,11.0,60,5.45
Andhra Pradesh,Nellore,Andhra Pradesh,Kurnool,Bus,150.0,498.0,33.0,11.0,20,1.82
Tamil Nadu,Coimbatore,Tamil Nadu,Chennai,4W,22.0,482.0,23.0,100.0,60,0.6
Andhra Pradesh,Guntur,Tamil Nadu,Madurai,4W,22.0,153.0,26.0,100.0,30,0.3
Tamil Nadu,Salem,Andhra Pradesh,Kurnool,2W,7.2,313.0,12.0,7.4,40,5.41
Andhra Pradesh,Nellore,Tamil Nadu,Vijayawada,2W,11.0,217.0,3.0,11.0,20,1.82
Tamil Nadu,Chennai,Tamil Nadu,Salem,4W,3.3,429.0,38.0,11.0,30,2.73
Tamil Nadu,Madurai,Tamil Nadu,Chennai,2W,3.3,304.0,2.0,22.0,60,2.73
Andhra Pradesh,Vellore,Andhra Pradesh,Vijayawada,Bus,3.3,589.0,33.0,7.4,60,8.11
Tamil Nadu,Coimbatore,Andhra Pradesh,Nellore,2W,3.3,469.0,22.0,50.0,40,0.8
Andhra Pradesh,Tirupati,Tamil Nadu,Madurai,3W,11.0,36.0,34.0,50.0,50,1.0
Andhra Pradesh,Vijayawada,Tamil Nadu,Salem,4W,3.3,462.0,48.0,3.3,50,15.15
Andhra Pradesh,Nellore,Tamil Nadu,Chennai,Bus,3.3,181.0,28.0,22.0,20,0.91
Tamil Nadu,Vellore,Andhra Pradesh,Nellore,Bus,3.3,46.0,25.0,3.3,60,18.18
Andhra Pradesh,Coimbatore,Andhra Pradesh,Nellore,Bus,3.3,125.0,21.0,7.4,75,10.14
Tamil Nadu,Chennai,Andhra Pradesh,Nellore,Bus,7.2,575.0,3.0,7.4,75,10.14
Tamil Nadu,Coimbatore,Tamil Nadu,Coimbatore,4W,11.0,499.0,2.0,100.0,50,0.5
Tamil Nadu,Chennai,Andhra Pradesh,Vijayawada,4W,100.0,185.0,39.0,3.3,50,15.15
Andhra Pradesh,Guntur,Tamil Nadu,Madurai,3W,3.3,417.0,13.0,7.4,40,5.41
Tamil Nadu,Chennai,Tamil Nadu,Tirupati,2W,22.0,330.0,25.0,22.0,75,3.41
Tamil Nadu,Salem,Tamil Nadu,Madurai,4W,150.0,101.0,34.0,100.0,20,0.2
Tamil Nadu,Madurai,Tamil Nadu,Chennai,3W,150.0,199.0,22.0,7.4,40,5.41
Tamil Nadu,Chennai,Tamil Nadu,Salem,3W,100.0,63.0,43.0,7.4,30,4.05
Tamil Nadu,Chennai,Andhra Pradesh,Tirupati,Bus,22.0,14.0,39.0,50.0,75,1.5
Tamil Nadu,Vellore,Tamil Nadu,Salem,3W,150.0,278.0,25.0,11.0,50,4.55
Tamil Nadu,Chennai,Andhra Pradesh,Nellore,Bus,7.2,355.0,37.0,7.4,40,5.41
Tamil Nadu,Chennai,Andhra Pradesh,Kurnool,2W,22.0,67.0,1.0,7.4,40,5.41
