source_state,source_city,destination_state,destination_city,vehicle_type,charging_capacity_kW,distance_km,num_ev_stations_route,charger_power_kW,charging_capacity_kWh,charging_duration_hours,distance_per_station,charging_efficiency,energy_per_km
Andhra Pradesh,Tirupati,Tamil Nadu,Madurai,Bus,50.0,30.0,39.0,11.0,40,3.64,0.75,3.3333333333333335,1.2903225806451613
Tamil Nadu,Madurai,Andhra Pradesh,Nellore,Bus,50.0,109.0,40.0,22.0,50,2.27,2.658536585365854,2.1739130434782608,0.45454545454545453
Tamil Nadu,Vellore,Andhra Pradesh,Guntur,Unknown,22.0,423.0,38.0,50.0,50,1.0,10.846153846153847,0.9803921568627451,0.1179245283018868
Tamil Nadu,Salem,Tamil Nadu,Vellore,2W,22.0,323.0,25.0,50.0,40,0.8,12.423076923076923,0.7843137254901961,0.12345679012345678
Andhra Pradesh,Vijayawada,Unknown,Chennai,4W,11.0,520.0,42.0,100.0,20,0.2,12.093023255813954,0.19801980198019803,0.03838771593090211
Tamil Nadu,Salem,Tamil Nadu,Madurai,Bus,150.0,253.0,3.0,3.3,30,9.09,63.25,6.976744186046512,0.11811023622047244
Andhra Pradesh,Tirupati,Andhra Pradesh,Vijayawada,4W,22.0,397.0,25.0,3.3,75,22.73,15.26923076923077,17.441860465116278,0.1884422110552764
Tamil Nadu,Coimbatore,Unknown,Coimbatore,2W,7.2,574.0,2.0,50.0,60,1.2,191.33333333333334,1.1764705882352942,0.10434782608695652
Tamil Nadu,Salem,Tamil Nadu,Salem,2W,22.0,44.0,14.0,3.3,60,18.18,2.933333333333333,13.953488372093023,1.3333333333333333
Andhra Pradesh,Guntur,Tamil Nadu,Salem,3W,100.0,399.0,25.0,3.3,50,15.15,15.346153846153847,11.627906976744187,0.125
Tamil Nadu,Vellore,Tamil Nadu,Coimbatore,3W,22.0,171.0,10.0,100.0,20,0.2,15.545454545454545,0.19801980198019803,0.11627906976744186
Tamil Nadu,Salem,Tamil Nadu,Chennai,3W,50.0,347.0,47.0,100.0,20,0.2,7.229166666666667,0.19801980198019803,0.05747126436781609
Andhra Pradesh,Guntur,Tamil Nadu,Unknown,Bus,22.0,304.0,45.0,7.4,75,10.14,6.608695652173913,8.928571428571429,0.2459016393442623
Andhra Pradesh,Tirupati,Andhra Pradesh,Vijayawada,2W,150.0,530.0,24.0,3.3,75,22.73,21.2,17.441860465116278,0.14124293785310735
Andhra Pradesh,Nellore,Tamil Nadu,Madurai,2W,11.0,428.0,33.0,11.0,50,4.55,12.588235294117647,4.166666666666667,0.11655011655011654
Andhra Pradesh,Guntur,Andhra Pradesh,Guntur,2W,22.0,144.0,9.0,50.0,30,0.6,14.4,0.5882352941176471,0.20689655172413793
Tamil Nadu,Coimbatore,Tamil Nadu,Unknown,Bus,150.0,416.0,24.0,11.0,75,6.82,16.64,6.25,0.17985611510791366
Andhra Pradesh,Kurnool,Andhra Pradesh,Nellore,4W,3.3,471.0,3.0,22.0,60,2.73,117.75,2.608695652173913,0.1271186440677966
Andhra Pradesh,Guntur,Andhra Pradesh,Nellore,2W,150.0,24.0,26.0,11.0,20,1.82,0.8888888888888888,1.6666666666666667,0.8
Unknown,Unknown,Tamil Nadu,Madurai,4W,150.0,250.0,32.0,3.3,60,18.18,7.575757575757576,13.953488372093023,0.23904382470119523
Tamil Nadu,Vellore,Tamil Nadu,Vellore,4W,11.0,550.0,36.0,3.3,75,22.73,14.864864864864865,17.441860465116278,0.13611615245009073
Andhra Pradesh,Nellore,Tamil Nadu,Madurai,3W,22.0,587.0,42.0,7.4,50,6.76,13.651162790697674,5.9523809523809526,0.08503401360544217
Andhra Pradesh,Vijayawada,Tamil Nadu,Vellore,3W,22.0,37.0,44.0,7.4,20,2.7,0.8222222222222222,2.380952380952381,0.5263157894736842
Tamil Nadu,Madurai,Tamil Nadu,Coimbatore,Unknown,22.0,482.0,39.0,7.4,75,10.14,12.05,8.928571428571429,0.15527950310559005
Tamil Nadu,Chennai,Andhra Pradesh,Vijayawada,4W,100.0,268.0,39.0,100.0,30,0.3,6.7,0.297029702970297,0.11152416356877323
Tamil Nadu,Madurai,Tamil Nadu,Chennai,3W,50.0,234.0,42.0,22.0,50,2.27,5.441860465116279,2.1739130434782608,0.2127659574468085
Tamil Nadu,Madurai,Tamil Nadu,Unknown,Bus,3.3,506.0,12.0,11.0,60,5.45,38.92307692307692,5.0,0.11834319526627218
Tamil Nadu,Coimbatore,Andhra Pradesh,Nellore,2W,50.0,304.0,49.0,7.4,40,5.41,6.08,4.761904761904762,0.13114754098360656
Tamil Nadu,Salem,Tamil Nadu,Vellore,Bus,3.3,394.0,19.0,100.0,40,0.4,19.7,0.39603960396039606,0.10126582278481013
Tamil Nadu,Vellore,Tamil Nadu,Salem,3W,100.0,425.0,4.0,22.0,75,3.41,85.0,3.260869565217391,0.176056338028169
Andhra Pradesh,Nellore,Andhra Pradesh,Vijayawada,4W,100.0,289.0,5.0,22.0,50,2.27,48.166666666666664,2.1739130434782608,0.1724137931034483
Tamil Nadu,Madurai,Unknown,Chennai,2W,22.0,196.0,6.0,22.0,50,2.27,28.0,2.1739130434782608,0.25380710659898476
Tamil Nadu,Madurai,Andhra Pradesh,Kurnool,Bus,11.0,412.0,26.0,11.0,60,5.45,15.25925925925926,5.0,0.14527845036319612
Andhra Pradesh,Nellore,Andhra Pradesh,Kurnool,Bus,150.0,498.0,33.0,11.0,20,1.82,14.647058823529411,1.6666666666666667,0.04008016032064128
Tamil Nadu,Coimbatore,Tamil Nadu,Chennai,4W,22.0,482.0,23.0,100.0,60,0.6,20.083333333333332,0.594059405940594,0.12422360248447205
Andhra Pradesh,Guntur,Tamil Nadu,Madurai,4W,22.0,153.0,26.0,100.0,30,0.3,5.666666666666667,0.297029702970297,0.19480519480519481
Tamil Nadu,Salem,Andhra Pradesh,Kurnool,2W,7.2,313.0,12.0,7.4,40,5.41,24.076923076923077,4.761904761904762,0.12738853503184713
Andhra Pradesh,Nellore,Unknown,Vijayawada,2W,11.0,217.0,3.0,11.0,20,1.82,54.25,1.6666666666666667,0.09174311926605505
Tamil Nadu,Chennai,Tamil Nadu,Salem,4W,3.3,429.0,38.0,11.0,30,2.73,11.0,2.5,0.06976744186046512
Tamil Nadu,Madurai,Tamil Nadu,Chennai,Unknown,3.3,304.0,2.0,22.0,60,2.73,101.33333333333333,2.608695652173913,0.19672131147540983
Unknown,Vellore,Andhra Pradesh,Vijayawada,Bus,3.3,589.0,33.0,7.4,60,8.11,17.323529411764707,7.142857142857142,0.1016949152542373
Tamil Nadu,Unknown,Andhra Pradesh,Nellore,2W,3.3,469.0,22.0,50.0,40,0.8,20.391304347826086,0.7843137254901961,0.0851063829787234
Andhra Pradesh,Tirupati,Tamil Nadu,Madurai,3W,11.0,36.0,34.0,50.0,50,1.0,1.0285714285714285,0.9803921568627451,1.3513513513513513
Andhra Pradesh,Vijayawada,Tamil Nadu,Salem,4W,3.3,462.0,48.0,3.3,50,15.15,9.428571428571429,11.627906976744187,0.1079913606911447
Andhra Pradesh,Nellore,Tamil Nadu,Chennai,Bus,3.3,181.0,28.0,22.0,20,0.91,6.241379310344827,0.8695652173913043,0.10989010989010989
Tamil Nadu,Vellore,Andhra Pradesh,Nellore,Bus,3.3,46.0,25.0,3.3,60,18.18,1.7692307692307692,13.953488372093023,1.2765957446808511
Andhra Pradesh,Unknown,Andhra Pradesh,Nellore,Bus,3.3,125.0,21.0,7.4,75,10.14,5.681818181818182,8.928571428571429,0.5952380952380952
